<TIME>,EUR/RUB,<LAST>
000000,EUR/RUB,68.297000000
000000,EUR/RUB,68.211000000
000001,EUR/RUB,68.210000000
000003,EUR/RUB,68.246000000
000011,EUR/RUB,68.210000000
000012,EUR/RUB,68.210000000
000013,EUR/RUB,68.209000000
000014,EUR/RUB,68.210000000
000015,EUR/RUB,68.210000000
000017,EUR/RUB,68.210000000
000018,EUR/RUB,68.224000000
000019,EUR/RUB,68.225000000
000020,EUR/RUB,68.225000000
000021,EUR/RUB,68.224000000
000021,EUR/RUB,68.282700000
000022,EUR/RUB,68.225000000
000023,EUR/RUB,68.225000000
000024,EUR/RUB,68.225000000
000025,EUR/RUB,68.225000000
000027,EUR/RUB,68.225000000
000028,EUR/RUB,68.224000000
000029,EUR/RUB,68.225000000
000030,EUR/RUB,68.226000000
000031,EUR/RUB,68.225000000
000032,EUR/RUB,68.225000000
000033,EUR/RUB,68.226000000
000038,EUR/RUB,68.226000000
000040,EUR/RUB,68.225000000
000041,EUR/RUB,68.226000000
000043,EUR/RUB,68.226000000
000045,EUR/RUB,68.226000000
000050,EUR/RUB,68.226000000
000051,EUR/RUB,68.225000000
000052,EUR/RUB,68.282100000
000053,EUR/RUB,68.226000000
000053,EUR/RUB,68.226000000
000054,EUR/RUB,68.227000000
000055,EUR/RUB,68.227000000
000059,EUR/RUB,68.227000000
000100,EUR/RUB,68.226000000
000101,EUR/RUB,68.226000000
000103,EUR/RUB,68.226000000
000104,EUR/RUB,68.226000000
000106,EUR/RUB,68.227000000
000107,EUR/RUB,68.226000000
000109,EUR/RUB,68.226000000
000110,EUR/RUB,68.224000000
000111,EUR/RUB,68.224000000
000111,EUR/RUB,68.243000000
000121,EUR/RUB,68.224000000
000122,EUR/RUB,68.223000000
000123,EUR/RUB,68.223000000
000123,EUR/RUB,68.280900000
000124,EUR/RUB,68.223000000
000126,EUR/RUB,68.223000000
000134,EUR/RUB,68.223000000
000135,EUR/RUB,68.224000000
000136,EUR/RUB,68.223000000
000138,EUR/RUB,68.223000000
000139,EUR/RUB,68.223000000
000140,EUR/RUB,68.223000000
000141,EUR/RUB,68.226000000
000142,EUR/RUB,68.226000000
000143,EUR/RUB,68.246000000
000150,EUR/RUB,68.226000000
000154,EUR/RUB,68.282700000
