<TIME>,<LAST>
000000,68.297000000
000000,68.211000000
000001,68.210000000
000003,68.246000000
000011,68.210000000
000012,68.210000000
000013,68.209000000
000014,68.210000000
000015,68.210000000
000017,68.210000000
000018,68.224000000
000019,68.225000000
000020,68.225000000
000021,68.224000000
000021,68.282700000
000022,68.225000000
000023,68.225000000
000024,68.225000000
000025,68.225000000
000027,68.225000000
000028,68.224000000
000029,68.225000000
000030,68.226000000
000031,68.225000000
000032,68.225000000
000033,68.226000000
000038,68.226000000
000040,68.225000000
000041,68.226000000
000043,68.226000000
000045,68.226000000
000050,68.226000000
000051,68.225000000
000052,68.282100000
000053,68.226000000
000053,68.226000000
000054,68.227000000
000055,68.227000000
000059,68.227000000
000100,68.226000000
000101,68.226000000
000103,68.226000000
000104,68.226000000
000106,68.227000000
000107,68.226000000
000109,68.226000000
000110,68.224000000
000111,68.224000000
000111,68.243000000
000121,68.224000000
000122,68.223000000
000123,68.223000000
000123,68.280900000
000124,68.223000000
000126,68.223000000
000134,68.223000000
000135,68.224000000
000136,68.223000000
000138,68.223000000
000139,68.223000000
000140,68.223000000
000141,68.226000000
000142,68.226000000
000143,68.246000000
000150,68.226000000
000154,68.282700000
000155,68.225000000
000156,68.226000000
000157,68.225000000
000158,68.225000000
000200,68.226000000
000201,68.225000000
000202,68.226000000
000207,68.226000000
000208,68.226000000
000209,68.226000000
000210,68.226000000
000212,68.226000000
000212,68.226000000
000214,68.226000000
000215,68.225000000
000221,68.226000000
000223,68.226000000
000225,68.226000000
000225,68.283400000
000230,68.226000000
000230,68.226000000
000234,68.226000000
000235,68.226000000
000238,68.226000000
000239,68.226000000
000241,68.226000000
000243,68.226000000
000244,68.226000000
000245,68.226000000
000248,68.225000000
000249,68.225000000
000251,68.225000000
000252,68.223000000
000253,68.243000000
000253,68.222000000
000254,68.223000000
000255,68.222000000
000256,68.280900000
000257,68.223000000
000258,68.225000000
000300,68.225000000
000304,68.226000000
000308,68.227000000
000309,68.225000000
000310,68.226000000
000311,68.226000000
000314,68.226000000
000317,68.227000000
000319,68.226000000
000320,68.226000000
000323,68.246000000
000323,68.226000000
000325,68.226000000
000326,68.226000000
000327,68.226000000
000328,68.282100000
000333,68.226000000
000334,68.226000000
000335,68.227000000
000336,68.226000000
000337,68.226000000
000338,68.226000000
000339,68.226000000
000340,68.226000000
000341,68.227000000
000342,68.227000000
000344,68.227000000
000347,68.226000000
000348,68.226000000
000349,68.226000000
000350,68.226000000
000355,68.226000000
000357,68.226000000
000358,68.226000000
000358,68.282100000
000400,68.226000000
000401,68.226000000
000402,68.227000000
000405,68.226000000
000406,68.226000000
000413,68.226000000
000416,68.226000000
000419,68.226000000
000429,68.227000000
000429,68.282700000
000432,68.226000000
000433,68.226000000
000435,68.226000000
000436,68.226000000
000437,68.226000000
000438,68.226000000
000441,68.226000000
000442,68.227000000
000445,68.227000000
000450,68.227000000
000452,68.226000000
000453,68.225000000
000454,68.225000000
000500,68.297000000
000500,68.283400000
000502,68.225000000
000508,68.226000000
000514,68.227000000
000516,68.227000000
000517,68.226000000
000518,68.226000000
000519,68.225000000
000520,68.226000000
000521,68.226000000
000522,68.225000000
000523,68.225000000
000524,68.225000000
000525,68.224000000
000526,68.224000000
000528,68.225000000
000528,68.225000000
000530,68.224000000
000531,68.225000000
000531,68.282700000
000541,68.225000000
000543,68.225000000
000547,68.225000000
000548,68.225000000
000550,68.224000000
000551,68.225000000
000552,68.225000000
000553,68.225000000
000555,68.226000000
000558,68.226000000
000600,68.226000000
000602,68.226000000
000602,68.282100000
000604,68.226000000
000605,68.226000000
000619,68.226000000
000620,68.226000000
000621,68.226000000
000628,68.226000000
000634,68.282700000
000639,68.226000000
000640,68.222000000
000640,68.243000000
000641,68.224000000
000644,68.223000000
000647,68.224000000
000648,68.223000000
000649,68.223000000
000650,68.224000000
000651,68.224000000
000652,68.224000000
000653,68.224000000
000655,68.224000000
000656,68.225000000
000701,68.225000000
000702,68.225000000
000703,68.224000000
000704,68.224000000
000705,68.279700000
000709,68.224000000
000710,68.225000000
000721,68.224000000
000723,68.224000000
000731,68.225000000
