<TIME>,USD/RUB,<LAST>
000000,USD/RUB,61.545100000
000000,USD/RUB,61.545100000
000000,USD/RUB,61.560100000
000001,USD/RUB,61.535000000
000001,USD/RUB,61.535000000
000002,USD/RUB,61.535000000
000003,USD/RUB,61.535000000
000003,USD/RUB,61.535000000
000004,USD/RUB,61.541000000
000005,USD/RUB,61.557000000
000017,USD/RUB,61.535000000
000023,USD/RUB,61.535000000
000030,USD/RUB,61.538000000
000031,USD/RUB,61.557000000
000043,USD/RUB,61.535000000
000053,USD/RUB,61.535000000
000055,USD/RUB,61.535000000
000056,USD/RUB,61.535000000
000103,USD/RUB,61.535000000
000123,USD/RUB,61.535000000
000143,USD/RUB,61.535000000
000155,USD/RUB,61.535000000
000203,USD/RUB,61.535000000
000210,USD/RUB,61.544800000
000210,USD/RUB,61.535000000
000229,USD/RUB,61.529000000
000230,USD/RUB,61.557000000
000230,USD/RUB,61.535000000
000250,USD/RUB,61.535000000
000253,USD/RUB,61.535000000
000255,USD/RUB,61.535000000
000310,USD/RUB,61.535000000
000330,USD/RUB,61.535000000
000350,USD/RUB,61.535000000
000355,USD/RUB,61.535000000
000410,USD/RUB,61.535000000
000420,USD/RUB,61.535000000
000440,USD/RUB,61.535000000
000500,USD/RUB,61.559100000
000500,USD/RUB,61.535000000
000501,USD/RUB,61.535000000
000505,USD/RUB,61.544000000
000505,USD/RUB,61.527500000
000506,USD/RUB,61.542400000
000506,USD/RUB,61.535000000
000507,USD/RUB,61.544600000
000507,USD/RUB,61.531000000
000508,USD/RUB,61.557000000
000508,USD/RUB,61.535000000
000509,USD/RUB,61.535000000
000509,USD/RUB,61.544600000
000509,USD/RUB,61.544600000
000511,USD/RUB,61.535000000
000511,USD/RUB,61.544600000
000511,USD/RUB,61.544600000
000513,USD/RUB,61.535000000
000513,USD/RUB,61.544600000
000513,USD/RUB,61.544600000
000515,USD/RUB,61.542500000
000515,USD/RUB,61.535000000
000515,USD/RUB,61.535000000
000515,USD/RUB,61.544600000
000517,USD/RUB,61.542500000
000517,USD/RUB,61.535000000
000518,USD/RUB,61.544600000
000518,USD/RUB,61.535000000
000520,USD/RUB,61.535000000
000520,USD/RUB,61.535000000
000522,USD/RUB,61.535000000
000522,USD/RUB,61.535000000
000524,USD/RUB,61.535000000
000524,USD/RUB,61.535000000
000526,USD/RUB,61.535000000
000526,USD/RUB,61.535000000
000528,USD/RUB,61.535000000
000528,USD/RUB,61.535000000
000531,USD/RUB,61.535000000
000531,USD/RUB,61.535000000
000533,USD/RUB,61.535000000
000533,USD/RUB,61.535000000
000535,USD/RUB,61.535000000
000535,USD/RUB,61.535000000
000537,USD/RUB,61.535000000
000537,USD/RUB,61.535000000
000540,USD/RUB,61.535000000
000540,USD/RUB,61.535000000
000542,USD/RUB,61.535000000
000542,USD/RUB,61.535000000
000544,USD/RUB,61.535000000
000544,USD/RUB,61.535000000
000546,USD/RUB,61.535000000
000546,USD/RUB,61.535000000
000548,USD/RUB,61.535000000
000548,USD/RUB,61.535000000
000550,USD/RUB,61.535000000
000550,USD/RUB,61.535000000
000553,USD/RUB,61.535000000
000553,USD/RUB,61.507500000
000553,USD/RUB,61.535000000
000553,USD/RUB,61.544300000
000555,USD/RUB,61.535000000
000555,USD/RUB,61.544300000
000555,USD/RUB,61.535000000
000557,USD/RUB,61.535000000
000557,USD/RUB,61.544300000
000557,USD/RUB,61.535000000
000559,USD/RUB,61.535000000
000559,USD/RUB,61.544300000
000559,USD/RUB,61.544300000
000559,USD/RUB,61.535000000
000600,USD/RUB,61.529000000
000601,USD/RUB,61.544300000
000601,USD/RUB,61.544300000
000601,USD/RUB,61.535000000
000602,USD/RUB,61.535000000
000602,USD/RUB,61.557000000
000604,USD/RUB,61.535000000
000604,USD/RUB,61.544300000
000604,USD/RUB,61.535000000
000606,USD/RUB,61.535000000
000606,USD/RUB,61.544300000
000606,USD/RUB,61.535000000
000608,USD/RUB,61.544300000
000608,USD/RUB,61.535000000
000608,USD/RUB,61.535000000
000610,USD/RUB,61.535000000
000610,USD/RUB,61.544300000
000610,USD/RUB,61.535000000
000612,USD/RUB,61.535000000
000613,USD/RUB,61.544300000
000613,USD/RUB,61.544300000
000613,USD/RUB,61.535000000
000615,USD/RUB,61.535000000
000615,USD/RUB,61.544300000
000615,USD/RUB,61.544300000
000617,USD/RUB,61.535000000
000617,USD/RUB,61.544200000
000617,USD/RUB,61.544200000
000637,USD/RUB,61.535000000
000639,USD/RUB,61.535000000
000639,USD/RUB,61.544300000
000639,USD/RUB,61.544300000
000641,USD/RUB,61.535000000
000641,USD/RUB,61.544300000
000641,USD/RUB,61.544300000
000643,USD/RUB,61.535000000
000643,USD/RUB,61.544300000
000643,USD/RUB,61.535000000
000645,USD/RUB,61.535000000
000645,USD/RUB,61.535000000
000646,USD/RUB,61.542100000
000646,USD/RUB,61.544300000
000648,USD/RUB,61.535000000
000648,USD/RUB,61.535000000
000648,USD/RUB,61.544300000
000650,USD/RUB,61.535000000
000650,USD/RUB,61.544300000
