<DATE>,<TIME>,<LAST>,<VOL>,<ID>,<OPER>
20200101,001500,62.0297000,62.1030000,61.9889000,62.0187000,299
20200101,003000,62.0968000,62.0968000,61.8360000,61.9631000,174
20200101,004500,62.0166000,62.0177000,61.9600000,61.9612000,97
20200101,010000,62.0154000,62.0160000,61.8991000,61.9148000,166
20200101,011500,62.0365000,62.0365000,61.8478000,61.9064000,9
20200101,013000,61.9174000,61.9338000,61.9007000,61.9007000,3
20200101,014500,61.9007000,61.9320000,61.9007000,61.9007000,4
20200101,020000,61.9007000,61.9007000,61.9007000,61.9007000,1
20200101,040000,61.9320000,61.9320000,61.9320000,61.9320000,1
20200101,041500,61.9368000,61.9368000,61.9368000,61.9368000,2
20200101,043000,61.9368000,61.9368000,61.9368000,61.9368000,3
20200101,044500,61.9368000,61.9368000,61.9368000,61.9368000,1
20200101,184500,61.9320000,61.9320000,61.9320000,61.9320000,2
20200101,210000,61.7750000,61.7750000,61.7750000,61.7750000,1
20200101,211500,61.7675000,61.7675000,61.3142000,61.3582000,13
20200101,213000,61.6553000,61.8733000,61.6553000,61.7750000,15
20200101,214500,61.8319000,61.9320000,61.7304000,61.7750000,20
20200101,220000,61.7013000,61.7013000,61.5917000,61.5917000,3
20200101,221500,61.5917000,61.8751000,61.5877000,61.8660000,11
20200101,223000,61.7911000,61.8186000,61.7750000,61.8186000,9
20200101,224500,61.7801000,61.8720000,61.7750000,61.8720000,4
20200101,230000,61.7750000,61.7750000,61.7750000,61.7750000,4
20200101,233000,61.7750000,61.7750000,61.7750000,61.7750000,1
20200101,234500,61.7676000,61.8717000,61.7676000,61.7750000,6
20200102,000000,61.7750000,61.9488000,61.7750000,61.8600000,11
20200102,001500,61.8936000,61.9593000,61.8341000,61.8936000,9
20200102,003000,61.9582000,61.9582000,61.9582000,61.9582000,1
20200102,004500,61.8400000,61.8400000,61.8400000,61.8400000,1
20200102,010000,61.8400000,61.8577000,61.8400000,61.8505000,12
20200102,011500,61.7851000,61.9502000,61.7600000,61.8039000,23
20200102,013000,61.9477000,61.9506000,61.8013000,61.8529000,14
20200102,014500,61.8784000,61.8789000,61.8255000,61.8255000,31
20200102,020000,61.8828000,61.8828000,61.8159000,61.8159000,26
20200102,021500,61.8535000,61.9320000,61.7309000,61.8668000,93
20200102,023000,61.7699000,61.8665000,61.7487000,61.7696000,15
20200102,024500,61.7704000,61.9320000,61.7488000,61.7721000,132
20200102,030000,61.7950000,61.8720000,61.7950000,61.8564000,92
20200102,031500,61.7947000,61.8591000,61.7947000,61.8559000,28
20200102,033000,61.7952000,61.8684000,61.7941000,61.8581000,125
20200102,034500,61.7940000,61.8606000,61.7940000,61.8473000,53
20200102,040000,61.7940000,62.0816000,61.7940000,62.0478000,143
20200102,041500,62.0821000,62.0821000,61.8247000,61.9467000,278
20200102,043000,62.0312000,62.0312000,61.9453000,61.9522000,35
20200102,044500,62.0189000,62.0211000,61.9501000,61.9502000,21
20200102,050000,62.0189000,62.0192000,61.9501000,61.9549000,16
20200102,051500,61.9317000,62.0401000,61.9088000,61.9967000,195
20200102,053000,62.0419000,62.0419000,61.9096000,61.9760000,107
20200102,054500,62.0179000,62.0179000,61.9336000,61.9851000,187
20200102,060000,62.0127000,62.0127000,61.8814000,61.9860000,223
20200102,061500,62.0078000,62.0078000,61.8814000,61.9860000,76
20200102,063000,62.0034000,62.0084000,61.8835000,61.9860000,33
20200102,064500,61.9950000,62.0078000,61.9146000,61.9850000,83
20200102,070000,61.9922000,62.0139000,61.8892000,61.9188000,65
20200102,071500,62.0020000,62.0043000,61.8892000,61.9222000,75
20200102,073000,61.9530000,62.0072000,61.9215000,61.9219000,109
20200102,074500,62.0077000,62.0077000,61.9201000,61.9446000,58
20200102,080000,61.9977000,62.0161000,61.9403000,61.9672000,37
20200102,081500,62.0043000,62.0200000,61.9360000,61.9694000,83
20200102,083000,62.0082000,62.0107000,61.9380000,61.9686000,52
20200102,084500,62.0301000,62.1521000,61.9420000,62.1521000,287
20200102,090000,62.0714000,62.1630000,62.0330000,62.1277000,270
20200102,091500,62.1228000,62.2001000,62.0600000,62.1340000,159
20200102,093000,62.1831000,62.1831000,62.1330000,62.1496000,81
20200102,094500,62.2040000,62.2040000,62.1270000,62.1469000,33
20200102,100000,62.1822000,62.1920000,62.0864000,62.1490000,368
20200102,101500,62.1000000,62.1640000,62.0891000,62.1479000,567
20200102,103000,62.1000000,62.1570000,61.8050000,61.8522000,1794
20200102,104500,61.8523000,61.9220000,61.8350000,61.8788000,2298
20200102,110000,61.9164000,61.9164000,61.7760000,61.8038000,1116
20200102,111500,61.8015000,61.8224000,61.7473000,61.7710000,960
20200102,113000,61.7924000,61.7950000,61.6873000,61.6885000,1116
20200102,114500,61.7220000,61.7371000,61.6735000,61.7046000,844
20200102,120000,61.7118000,61.7230000,61.5390000,61.5940000,1204
20200102,121500,61.5825000,61.6470000,61.5573000,61.6113000,1303
20200102,123000,61.6255000,61.6270000,61.5760000,61.5880000,875
20200102,124500,61.6202000,61.6400000,61.5748000,61.6350000,1078
20200102,130000,61.6270000,61.6624000,61.5885000,61.5970000,688
20200102,131500,61.6477000,61.6509000,61.5910000,61.6190000,880
20200102,133000,61.6590000,61.7194000,61.6160000,61.7194000,1181
20200102,134500,61.7242000,61.7521000,61.6773000,61.7453000,1486
20200102,140000,61.7605000,61.8013000,61.7060000,61.7907000,1068
20200102,141500,61.7794000,61.8023000,61.7048000,61.7347000,771
20200102,143000,61.7220000,61.7520000,61.6735000,61.7250000,1097
20200102,144500,61.7428000,61.7790000,61.6890000,61.7700000,1119
20200102,150000,61.7831000,61.7856000,61.6860000,61.7188000,832
20200102,151500,61.7221000,61.7577000,61.6760000,61.7288000,820
20200102,153000,61.7502000,61.7621000,61.6885000,61.7413000,781
20200102,154500,61.7928000,61.7938000,61.6873000,61.7594000,707
20200102,160000,61.7856000,61.7856000,61.7185000,61.7619000,481
20200102,161500,61.7607000,61.8170000,61.7360000,61.7735000,1045
20200102,163000,61.8225000,61.8331000,61.7590000,61.7874000,1283
20200102,164500,61.8199000,61.8395000,61.7190000,61.7690000,1454
20200102,170000,61.7916000,61.8278000,61.7298000,61.7754000,1332
20200102,171500,61.7725000,61.7913000,61.7073000,61.7470000,1754
20200102,173000,61.7602000,61.8244000,61.7060000,61.8038000,1750
20200102,174500,61.8163000,61.8310000,61.7348000,61.7740000,2033
